date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:14:42	118319/118319	---M-Z	200	added ('OK')	text/html	etag:W/%220ca7d111fd42ed4e13b05936d7cd7fbd%22	https://petshop.vn/bo-chan-ga-goi-boc-hoa-kiki-kaikai-29	D:/New%20folder/ShopPet/petshop.vn/bo-chan-ga-goi-boc-hoa-kiki-kaikai-29.html	(from https://petshop.vn/)
00:14:43	139203/139203	---M-Z	200	added ('OK')	text/html	etag:W/%221e10e93625606ddadba9b961bfac6b77%22	https://petshop.vn/bo-chan-ga-goi-boc-gau-grizzly-16	D:/New%20folder/ShopPet/petshop.vn/bo-chan-ga-goi-boc-gau-grizzly-16.html	(from https://petshop.vn/)
00:14:45	118834/118834	---M-Z	200	added ('OK')	text/html	etag:W/%22bc4b671503530be2c35b3b6355f517e6%22	https://petshop.vn/khan-bep-dfz-131-1	D:/New%20folder/ShopPet/petshop.vn/khan-bep-dfz-131-1.html	(from https://petshop.vn/)
00:14:46	119978/119978	---M-Z	200	added ('OK')	text/html	etag:W/%22ea3328224a609aaf63a0b9dc5359267b%22	https://petshop.vn/khan-bep-nz-716-1	D:/New%20folder/ShopPet/petshop.vn/khan-bep-nz-716-1.html	(from https://petshop.vn/)
00:14:47	118835/118835	---M-Z	200	added ('OK')	text/html	etag:W/%223c7e151587b9ee325b8730720fea1b69%22	https://petshop.vn/tui-treo-tuong-doz-100	D:/New%20folder/ShopPet/petshop.vn/tui-treo-tuong-doz-100.html	(from https://petshop.vn/)
00:14:48	121917/121917	---M-Z	200	added ('OK')	text/html	etag:W/%22aa637ebfb7929e13b308a8f28f1861c6%22	https://petshop.vn/balo-nguoi-lon-dbg-189	D:/New%20folder/ShopPet/petshop.vn/balo-nguoi-lon-dbg-189.html	(from https://petshop.vn/)
00:14:49	119033/119033	---M-Z	200	added ('OK')	text/html	etag:W/%2295db6d97c8422fa36a978567e64df25c%22	https://petshop.vn/khau-trang-dhz-036-s-m-l	D:/New%20folder/ShopPet/petshop.vn/khau-trang-dhz-036-s-m-l.html	(from https://petshop.vn/)
00:14:50	120233/120233	---M-Z	200	added ('OK')	text/html	etag:W/%22db15e6555c2fbaecda7372d6f5a83084%22	https://petshop.vn/bop-vi-gap-dz-786	D:/New%20folder/ShopPet/petshop.vn/bop-vi-gap-dz-786.html	(from https://petshop.vn/)
00:14:51	127172/127172	---M-Z	200	added ('OK')	text/html	etag:W/%2203420a9e8e18ad5df4e2b6f4aa34c254%22	https://petshop.vn/ba-lo-tre-em-dbg-10m	D:/New%20folder/ShopPet/petshop.vn/ba-lo-tre-em-dbg-10m.html	(from https://petshop.vn/)
00:14:53	124920/124920	---M-Z	200	added ('OK')	text/html	etag:W/%22358b5efce8b74cc464b88e021d6d8e61%22	https://petshop.vn/ba-lo-tre-em-dbg-556-1	D:/New%20folder/ShopPet/petshop.vn/ba-lo-tre-em-dbg-556-1.html	(from https://petshop.vn/)
00:14:54	125966/125966	---M-Z	200	added ('OK')	text/html	etag:W/%226112c54f548a973df1529bdb76829e49%22	https://petshop.vn/ba-lo-tre-em-dbg-380-1	D:/New%20folder/ShopPet/petshop.vn/ba-lo-tre-em-dbg-380-1.html	(from https://petshop.vn/)
00:14:55	127775/127775	---M-Z	200	added ('OK')	text/html	etag:W/%2293c582ccc8f4eb979aed01005645635e%22	https://petshop.vn/ba-lo-tre-em-dobg-148-1	D:/New%20folder/ShopPet/petshop.vn/ba-lo-tre-em-dobg-148-1.html	(from https://petshop.vn/)
00:14:56	130220/130220	---M-Z	200	added ('OK')	text/html	etag:W/%223503ffecb47c9233970453866bc428d2%22	https://petshop.vn/ba-lo-tre-em-dobg-257	D:/New%20folder/ShopPet/petshop.vn/ba-lo-tre-em-dobg-257.html	(from https://petshop.vn/)
00:14:57	82257/82257	---M-Z	200	added ('OK')	text/html	etag:W/%22ddb296777fa6dfc4e3a3ec74822015c4%22	https://petshop.vn/tin-tuc	D:/New%20folder/ShopPet/petshop.vn/tin-tuc.html	(from https://petshop.vn/)
00:14:57	117264/117264	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Jun%202023%2006:50:31%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/147/060/themes/880570/assets/slider_2.jpg?1687579687145	D:/New%20folder/ShopPet/bizweb.dktcdn.net/thumb/grande/100/147/060/themes/880570/assets/slider_2b828.jpg	(from https://petshop.vn/)
00:14:57	120559/120559	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Aug%202023%2009:55:51%20GMT	http://bizweb.dktcdn.net/100/147/060/themes/880570/assets/slider_2_mb.jpg?1687579687145	D:/New%20folder/ShopPet/bizweb.dktcdn.net/100/147/060/themes/880570/assets/slider_2_mbb828.jpg	(from https://petshop.vn/)
